Company Name,Sector,Stage,Amount,Location,Funding Year,Founded,Investor
Inc42,"Media and Entertainment, News, Publishing",Seed,,New Delhi,2018,,
Picxy,Internet,Seed,130000.0,Guntur,2018,,
Huddle,Consulting,Seed,300000.0,Haryana,2018,,
Benepik,Human Resources,Seed,,Gurgaon,2018,,
Cash Suvidha,Finance,Seed,1000000.0,New Delhi,2018,,
Smartcoin,"Big Data, Financial Services, Machine Learning, Predictive Analytics",Seed,2000000.0,Bangalore,2018,,
Carmel Organics,"Agriculture, AgTech, Manufacturing",Series A,,Indore,2018,,
Roadcast,—,Angel,250000.0,New Delhi,2018,,
Printline Media(ThePrint),"Digital Media, News, Publishing",Seed,418800.0,New Delhi,2018,,
Creditas Solutions,Financial Services,Seed,,Gurgaon,2018,,
UrbanPiper,Software,Seed,,Bengaluru,2018,,
Doxper,"Health Care, Hospital",Seed,864000.0,Mumbai,2018,,
i2ifunding,"Crowdfunding, Finance, Financial Services",Angel,600000.0,Noida,2018,,
ShakeDeal,"B2B, E-Commerce, Enterprise",Seed,,Bangalore,2018,,
HelloVerify,"Fraud Detection, Information Services, Security",Seed,,Noida,2018,,
Fasal,"Agriculture, AgTech, Artificial Intelligence, Internet of Things, Machine Learning",Seed,120000.0,Bengaluru,2018,,
CoinGeto,"Cryptocurrency, Trading Platform",Seed,1440000.0,Delhi,2018,,
Avail Finance,"Finance, FinTech, Mobile Payments",Series A,17200000.0,Bangalore,2018,,
Tripeur,Information Technology,Seed,600000.0,Bengaluru,2018,,
Wedeterna,Wedding,Angel,,Bangalore,2018,,
Stumagz,Digital Media,Seed,,Hyderabad,2018,,
Doubtnut,"E-Learning, EdTech, Education, Image Recognition, Machine Learning, STEM Education",Seed,420000.0,Gurgaon,2018,,
MCaffeine,Consumer Goods,Seed,384000.0,Mumbai,2018,,
TrustCheckr,Information Technology,Angel,100000.0,Bengaluru,2018,,
HealthAssure,"Fitness, Health Care, Wellness",Seed,1000000.0,Mumbai,2018,,
Picture TIme,Digital Entertainment,Seed,3000000.0,New Delhi,2018,,
1Crowd,"Crowdsourcing, Financial Services, Funding Platform, Venture Capital",Angel,3500000.0,Mumbai,2018,,
Aarav Unmanned Systems,"Delivery, Drones, Geospatial, Robotics",Seed,,Bangalore,2018,,
Wellthy Therapeutics Pvt Ltd,"Health Care, Hospital",Seed,1620000.0,Mumbai,2018,,
Nua,Consumer Goods,Seed,,Mumbai,2018,,
Kuvera.in,Financial Services,Angel,250000.0,Bangalore,2018,,
Livehealth,"Health Care, Information Technology, Management Information Systems",Seed,1100000.0,Pune,2018,,
Gramophone,Farming,Seed,1000000.0,Indore,2018,,
Ora,"Business Travel, Hospitality, Hotel, Marketplace, Tourism, Travel Accommodations",Seed,,Kolkata,2018,,
Buddy4Study.com,"Career Planning, Education, Higher Education, Service Industry",Series A,3000000.0,Noida,2018,,
Predible Health,Medical Device,Seed,,Bangalore,2018,,
Syncremedies Healthcare Pvt Ltd,"Alternative Medicine, Health Care",Seed,,Bangalore,2018,,
